Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score
Lestaurtinib,1024,SBC-1,713885,SCLC,lung,lung_small_cell_carcinoma,-0.575910693,0.75471374,2,0.170110551,-0.346897904
Lestaurtinib,1024,LU-135,713899,SCLC,lung,lung_small_cell_carcinoma,-1.858804864,0.615961136,2,0.161809801,-1.140228404
Lestaurtinib,1024,SHP-77,724872,SCLC,lung,lung_small_cell_carcinoma,-0.20613527,0.815042275,2,0.086169819,-0.118232026
Lestaurtinib,1024,CPC-N,753547,SCLC,lung,lung_small_cell_carcinoma,-0.774837133,0.749523018,2,0.065595163,-0.469912269
Lestaurtinib,1024,DMS-79,753551,SCLC,lung,lung_small_cell_carcinoma,0.356751067,0.862488201,2,0.092997712,0.229851946
Lestaurtinib,1024,IST-SL1,753564,SCLC,lung,lung_small_cell_carcinoma,-1.819508485,0.630777478,2,0.125667638,-1.115927868
Lestaurtinib,1024,IST-SL2,753565,SCLC,lung,lung_small_cell_carcinoma,-1.624392107,0.639826291,2,0.258257945,-0.995269612
Lestaurtinib,1024,LB647-SCLC,753582,SCLC,lung,lung_small_cell_carcinoma,-0.43286179,0.785807576,2,0.082575158,-0.258437717
Lestaurtinib,1024,LU-134-A,753588,SCLC,lung,lung_small_cell_carcinoma,-0.512630005,0.772740009,2,0.074952127,-0.307765681
Lestaurtinib,1024,LU-165,753589,SCLC,lung,lung_small_cell_carcinoma,1.571602108,0.86657926,2,0.078034783,0.981105172
Lestaurtinib,1024,MS-1,753594,SCLC,lung,lung_small_cell_carcinoma,1.484979367,0.945737056,2,0.026252539,0.927538429
Lestaurtinib,1024,NCI-H510A,753605,SCLC,lung,lung_small_cell_carcinoma,-1.360952506,0.686668327,2,0.065582887,-0.832360874
Lestaurtinib,1024,SBC-3,753610,SCLC,lung,lung_small_cell_carcinoma,0.149834164,0.82685801,2,0.061568051,0.101896349
Lestaurtinib,1024,COR-L88,906808,SCLC,lung,lung_small_cell_carcinoma,1.514397203,0.919100515,2,0.047572126,0.945730161
Lestaurtinib,1024,DMS-53,907295,SCLC,lung,lung_small_cell_carcinoma,1.853129187,0.932019907,2,0.09073167,1.155199048
Lestaurtinib,1024,NCI-H1105,908468,SCLC,lung,lung_small_cell_carcinoma,-0.082149007,0.817300263,2,0.086663367,-0.041560009
Lestaurtinib,1024,NCI-H1436,908469,SCLC,lung,lung_small_cell_carcinoma,-1.092091708,0.709491911,2,0.061252188,-0.666099715
Lestaurtinib,1024,NCI-H2081,908480,SCLC,lung,lung_small_cell_carcinoma,-0.037499909,0.801617654,2,0.116797842,-0.013949398
Lestaurtinib,1024,NCI-H2196,908481,SCLC,lung,lung_small_cell_carcinoma,1.855856339,0.923324564,2,0.085356659,1.156885495
Lestaurtinib,1024,NCI-H524,908483,SCLC,lung,lung_small_cell_carcinoma,-1.746361089,0.636561728,2,0.131452361,-1.07069416
Lestaurtinib,1024,NCI-H748,909194,SCLC,lung,lung_small_cell_carcinoma,1.013417874,0.897471897,2,0.110998931,0.635928939
Lestaurtinib,1024,COLO-668,910692,SCLC,lung,lung_small_cell_carcinoma,0.401604216,0.849787973,2,0.100318909,0.25758874
Lestaurtinib,1024,NCI-H146,910899,SCLC,lung,lung_small_cell_carcinoma,-0.025452867,0.812147964,2,0.130143786,-0.006499613
Lestaurtinib,1024,COR-L279,910937,SCLC,lung,lung_small_cell_carcinoma,-1.586164135,0.654532384,2,0.079937124,-0.97162977
Lestaurtinib,1024,NCI-H250,924241,SCLC,lung,lung_small_cell_carcinoma,0.377457548,0.81640222,2,0.046843053,0.242656653
